idFinal,Segment,Proposal,idcod,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7
34_LibroBANSEFI.Sin copyright.pdf,"La “Revisión de las sesiones educativas” proporciona una visión general, presentando el título y propósito de cada sesión.",La revisión de las sesiones educativas proporciona una visión general mediante el título y propósito de cada sesión.,1 Filtrado_Annette_DC.xlsx,12,3,,,,,,
37_LibroBANSEFI.Sin copyright.pdf,"En una reunión de capacitación puede facilitar una, dos o todas las sesiones de un capítulo,dependiendo de la experiencia que los participantes tengan sobre el tema o del tiempoque puedan destinar a la capacitación.","En una reunión de capacitación puede facilitar una o todas las sesiones de un capítulo, según la experiencia y el tiempo de los participantes.",1 Filtrado_Annette_DC.xlsx,5,12,,,,,,
44_LibroBANSEFI.Sin copyright.pdf,"Dado que la descripción de las sesiones educativas es bien detallada, usted no tiene que crear materiales a partir de cero.",Usted no tiene que crear materiales a partir de cero porque la descripción de las sesiones educativas está bien detallada.,1 Filtrado_Annette_DC.xlsx,19,20,,,,,,
45_LibroBANSEFI.Sin copyright.pdf,"Sin embargo, deberá dedicar tiempo para prepararse antes de comenzar la capacitación.",Pero deberá dedicar tiempo para prepararse antes de comenzar la capacitación.,1 Filtrado_Annette_DC.xlsx,8,99,,,,,,
47_LibroBANSEFI.Sin copyright.pdf,"Cuando haya seleccionado las sesiones educativas que desea impartir, deberá adaptarlas una por una a su situación particular.",Deberá adaptar las sesiones educativos cuando haya seleccionado las sesiones educativas que desea impartir.,1 Filtrado_Annette_DC.xlsx,5,19,,,,,,
49_LibroBANSEFI.Sin copyright.pdf,En las historias es posible quetenga que cambiar los nombres de las personas y los lugares para que reflejen mejor lacultura y ubicación geográfica de los participantes.,Es posible que deba cambiar los nombres de las personas y los lugares en las historias para reflejar mejor la cultura y ubicación geográfica de los participantes.,1 Filtrado_Annette_DC.xlsx,17,19,,,,,,
53_LibroBANSEFI.Sin copyright.pdf,"Además de este tipo de adaptaciones, también es posible que identifique casos en los que sea conveniente agregar actividades al módulo que no estén consideradas en la guía.","Además de este tipo de adaptaciones, también es posible que crea conveniente agregar nuevas actividades al módulo.",1 Filtrado_Annette_DC.xlsx,17,19,5,,,,,
55_LibroBANSEFI.Sin copyright.pdf,Una visita a alguna institución financiera locallos ayudará a disipar los mitos en torno a una institución que suele ser percibida como cerrada a ellos.,Una visita a alguna institución financiera local ayudará a desmentir los mitos en torno a la idea de que está cerrada para ellos.,1 Filtrado_Annette_DC.xlsx,2,4,,,,,,
56_LibroBANSEFI.Sin copyright.pdf,En las instalaciones de la institución financiera los participantes adquieren práctica haciendo preguntas sobre los tipos de crédito para poder decidir sobre dónde y cuánto pedir prestado.,En las instalaciones de la institución financiera los participantes adquieren práctica con preguntas sobre los tipos de crédito para decidir sobre dónde y cuánto pedir prestado.,1 Filtrado_Annette_DC.xlsx,12,5,,,,,,
57_LibroBANSEFI.Sin copyright.pdf,"También piense en invitar a profesionales de la comunidad, expertos en el tema que se está tratando, para que expongan ante el grupo.",También piense en invitar a profesionales y experto en el tema tratado para que expongan ante el grupo.,1 Filtrado_Annette_DC.xlsx,12,16,5,,,,,
62_LibroBANSEFI.Sin copyright.pdf,"Conforme vaya completando cada hoja del rotafolio con las respuestas, deberá pegarla en la pared para que todos puedan verla y usarla como referencia.","Conforme complete cada hoja del rotafolio con las respuestas, deberá pegarla en la pared para que todos puedan verla y usarla como referencia.",1 Filtrado_Annette_DC.xlsx,12,5,,,,,,
73_LibroBANSEFI.Sin copyright.pdf,"Asimismo, es importante que mantenga una comunicación activa con el grupo y que en todo momento se asegure que los objetivos sean cumplidos y los conceptos y mensajes claves sean comprendidos.","También, es importante mantener una comunicación activa con el grupo y asegurarse de que los objetivos se cumplan y los conceptos o mensajes claves sean comprendidos.",1 Filtrado_Annette_DC.xlsx,17,5,,,,,,
74_LibroBANSEFI.Sin copyright.pdf,No dude en repetir las instrucciones de las actividades e incitar activamente la participación del grupo.,No dude en repetir las instrucciones de las actividades e incentivar la participación del grupo.,1 Filtrado_Annette_DC.xlsx,1,5,,,,,,
80_LibroBANSEFI.Sin copyright.pdf,"De hecho, en la educación para adultos, la facilitación es tan importante como la enseñanzade los aspectos técnicos.",La facilitación y la enseñanza de los aspectos técnicos son igual de importantes en la educación para adultos.,1 Filtrado_Annette_DC.xlsx,16,5,9,19,,,,
81_LibroBANSEFI.Sin copyright.pdf,Como facilitador su responsabilidad es incentivar a las personasa que propongan y examinen un tema; estimular las ideas y la discusión; incentivar a las personas a que compartan sus experiencias; y hacer que tomen decisiones y/o lleguen a acuerdos que tengan una aplicación directa en sus vidas.,"Como facilitador su responsabilidad es incentivar a las personas a que propongan y examinen un tema, estimular las ideas y la discusión, impulsar a las personas a compartir sus experiencias. Y hacer que tomen decisiones o lleguen a acuerdos que tengan una aplicación directa en sus vidas.",1 Filtrado_Annette_DC.xlsx,15,21,17,,,,,
82_LibroBANSEFI.Sin copyright.pdf,A continuación se presentan algunos consejos para crear un ambiente óptimo para elaprendizaje (acuda al Manual de Capacitación para Capacitadores para obtener más información).,A continuación se presentan algunos consejos para crear un ambiente óptimo de aprendizaje. Consulte el Manual de Capacitación para Capacitadores para obtener más información.,1 Filtrado_Annette_DC.xlsx,3,1,5,,,,,
83_LibroBANSEFI.Sin copyright.pdf,"Participación: De acuerdo al principio de la participación, los adultos deben participarplenamente y “hacer” todo lo que están aprendiendo y no simplemente escuchar lo que alguien les dice al respecto.","Participación. De acuerdo al principio de la participación, los adultos deben participar plenamente en lo que están aprendiendo y no simplemente escuchar lo que alguien les dice al respecto.",1 Filtrado_Annette_DC.xlsx,3,5,6,,,,,
89_LibroBANSEFI.Sin copyright.pdf,"Muchas veces esto significa escuchar no sólo las palabras, sino también los sentimientos.",Muchas veces esto significa escuchar las palabras y también los sentimientos.,1 Filtrado_Annette_DC.xlsx,9,,,,,,,
90_LibroBANSEFI.Sin copyright.pdf,"Sin excepción, el capacitador debe mostrar interés en los participantes e indicar con sus respuestas y comentarios que está siguiendo lo que los participantes dicen.","Sin excepción, el capacitador debe mostrar interés en los participantes y demostrarlo con sus respuestas y comentarios .",1 Filtrado_Annette_DC.xlsx,17,5,6,,,,,
91_LibroBANSEFI.Sin copyright.pdf,"De ser necesario, se recomienda resumir las ideas que se comparten en la sesión.",Se recomienda resumir las ideas compartidas en la sesión de ser necesario.,1 Filtrado_Annette_DC.xlsx,17,19,,,,,,
97_LibroBANSEFI.Sin copyright.pdf,"Además, se puede considerar el uso de reconocimientosformarles como pequeños premios (artículos como camisas, calendarios y tasas con el logo del patrocinador del evento y/o cupones de descuentos) y certificados de cumplimiento al completar cada sesión y/o cada capítulo de la capacitación.","Además, se puede considerar el uso de reconocimientos formarles. Pueden ser artículos como camisas, calendarios y tasas con el logo del patrocinador del evento o cupones de descuentos. También, certificados de cumplimiento al completar cada sesión o capítulo de la capacitación.",1 Filtrado_Annette_DC.xlsx,3,5,,,,,,
99_LibroBANSEFI.Sin copyright.pdf,Es útil también solicitar a los participantes anotar su nombre en una etiqueta (proporcionada por usted) que se pegarán en un lugar visible.,Es útil también solicitar a los participantes anotar su nombre en una etiqueta que se pegarán en un lugar visible.,1 Filtrado_Annette_DC.xlsx,3,5,,,,,,
478_LibroBANSEFI.Sin copyright.pdf,El instructor debe tomar nota de los ejemplos (por lo menos dos) en la hoja de rotafolio correspondiente.,El instructor debe tomar nota de al menos dos ejemplos en la hoja de rotafolio correspondiente.,1 Filtrado_Annette_DC.xlsx,3,16,,,,,,
484_LibroBANSEFI.Sin copyright.pdf,"[Sufrimos aun peores circunstancias: por ejemplo los niños no van a la escuela, no recuperamos la pérdida que ha causado una emergencia, perdemos oportunidades de ganar más dinero en nuestro negocio, pagamos renta en vez de ser dueños de nuestra propia casa]","Sufrimos aun peores circunstancias. Por ejemplo los niños no van a la escuela, no recuperamos la pérdida que ha causado una emergencia, perdemos oportunidades de ganar más dinero en nuestro negocio, pagamos renta en vez de ser dueños de nuestra propia casa",1 Filtrado_Annette_DC.xlsx,3,15,,,,,,
487_LibroBANSEFI.Sin copyright.pdf,"Los servicios financieros, cuando son usados correctamente, son una herramienta muy importante en la planificación financiera.",Los servicios financieros son una herramienta muy importante en la planificación financiera cuando son usados correctamente.,1 Filtrado_Annette_DC.xlsx,16,19,,,,,,
490_LibroBANSEFI.Sin copyright.pdf,"Enseñar las tarjetas grandes con los términos de productos financieros, una por una, y leer las definiciones.",Enseñar una por una las tarjetas grandes con los términos de productos financieros y leer las definiciones.,1 Filtrado_Annette_DC.xlsx,16,19,,,,,,
497_LibroBANSEFI.Sin copyright.pdf,"Después de un periodo de tiempo definido, ese dinero debe ser devuelto a su propietario, generalmente pagando intereses y/o un cargo por su uso.","Después de un periodo de tiempo definido ese dinero debe ser devuelto a su propietario, generalmente al pagar intereses y un cargo por su uso.",1 Filtrado_Annette_DC.xlsx,3,12,16,,,,,
498_LibroBANSEFI.Sin copyright.pdf,"Seguro. Un compromiso de pago de una suma de dinero, pagado en caso de una pérdida o gasto inesperado, a cambio de pagos realizados previamente.","Un compromiso de pago de una suma de dinero que se hace en caso de una pérdida o gasto inesperado, a cambio de pagos realizados previamente.",1 Filtrado_Annette_DC.xlsx,3,16,6,,,,,
500_LibroBANSEFI.Sin copyright.pdf,"Las instituciones financieras pueden ofrecer varios tipos de seguro, como por ejemplo: seguro de vida.",Las instituciones financieras pueden ofrecer varios tipos de seguro. Por ejemplo el seguro de vida.,1 Filtrado_Annette_DC.xlsx,3,5,,,,,,
507_LibroBANSEFI.Sin copyright.pdf,"Invitar a voluntarios, uno por uno, a pegar tarjetas.",Invitar a voluntarios a pegar tarjetas uno por uno.,1 Filtrado_Annette_DC.xlsx,16,19,,,,,,
526_LibroBANSEFI.Sin copyright.pdf,La tarjeta bancaria le es entregada por su banco y le permite obtener efectivo de su cuenta usando una máquina especial que se llama “cajero automático”.,La tarjeta bancaria le es entregada por su banco y le permite obtener efectivo de su cuenta por medio de una máquina especial que se llama cajero automático.,1 Filtrado_Annette_DC.xlsx,3,12,,,,,,
528_LibroBANSEFI.Sin copyright.pdf,"Sin embargo, normalmente puede usar su tarjeta bancaria para retirar efectivo de cualquier cajero automático, ya sea que el cajero automático pertenece a su banco o no.","Normalmente puede usar su tarjeta bancaria para retirar efectivo de cualquier cajero automático, aunque el cajero automático no pertenezca a su banco.",1 Filtrado_Annette_DC.xlsx,8,6,,,,,,
529_LibroBANSEFI.Sin copyright.pdf,"No obstante, su banco puede cobrarle una comisión cada vez que usted use un cajero automático que pertenece a la red de otro banco.",Pero su banco puede cobrarle una comisión cada vez que use un cajero automático que pertenece a la red de otro banco.,1 Filtrado_Annette_DC.xlsx,8,5,,,,,,
556_LibroBANSEFI.Sin copyright.pdf,En realidad hay muchas maneras en que las tarjetas de débito nos pueden ayudar.,Hay muchas maneras en las que las tarjetas de débito nos pueden ayudar.,1 Filtrado_Annette_DC.xlsx,4,5,,,,,,
79_LibroBMM. Sin copyright.pdf,"Necesitamos pues, estudiar cuál es el estado de nuestra economía.",Necesitamos estudiar cuál es el estado de nuestra economía.,1 Filtrado_Annette_DC.xlsx,16,5,,,,,,
81_LibroBMM. Sin copyright.pdf,"Es importante ser absolutamente sinceros con nosotros mismos, valorar los ingresos seguros y los gastos fijos actuales más los eventuales que puedan acaecer a cortomedio plazo.","Es importante ser absolutamente sinceros con nosotros mismos. Valorar los ingresos seguros y los gastos fijos actuales, más los gastos eventuales a corto medio plazo.",1 Filtrado_Annette_DC.xlsx,1,5,,,,,,
85_LibroBMM. Sin copyright.pdf,"Sus propios nombres nos indican, por una parte cual es la capacidad de nuestra economía para afrontar nuevos  endeudamientos sin exponernos a problemas y dónde está el límite.","Sus propios nombres nos indican, cuál es la capacidad de nuestra economía para afrontar nuevos endeudamientos sin exponernos a problemas y dónde está el límite.",1 Filtrado_Annette_DC.xlsx,16,5,,,,,,
87_LibroBMM. Sin copyright.pdf,"Si la suma total de los gastos supera el límite del 40% de los ingresos,podemos incurrir en una situación de alto riesgo de sobreendeudamiento.","Si la suma total de los gastos supera el límite del cuarenta por ciento de los ingresos, podemos caer en una situación de alto riesgo de sobreendeudamiento.",1 Filtrado_Annette_DC.xlsx,14,1,,,,,,
88_LibroBMM. Sin copyright.pdf,"Aunque los números “cuadren” , es decir, no superen los límites de endeudamiento, no debemos olvidar dejar un margen de maniobra para cubrir posibles eventualidades e imprevistos que se pueden presentar: reparaciones, enfermedades, etc.","Aunque los números no superen los límites de endeudamiento, no debemos olvidar dejar un margen de maniobra para cubrir posibles eventualidades e imprevistos como reparaciones, enfermedades, entre otros.",1 Filtrado_Annette_DC.xlsx,2,3,5,12,,,,
89_LibroBMM. Sin copyright.pdf,"Asimismo, debemos tener en cuenta los cambios que pueden acontecer en nuestra vida tanto a corto como a medio plazo, así como los imprevistos, los cuales pueden influir y condicionar nuestra situación personal y económica.","También debemos tener en cuenta los cambios que pueden acontecer a corto y medio plazo, así como los imprevistos que pueden condicionar nuestra situación personal y económica.",1 Filtrado_Annette_DC.xlsx,1,8,9,5,,,,
94_LibroBMM. Sin copyright.pdf,"Teniendo en cuenta el presupuesto que has realizado, puedes calcular la capacidad de endeudamiento y el límite máximo, así como comprobar si se supera el mismo.","Con el presupuesto realizado en cuenta, puedes calcular la capacidad de endeudamiento, el límite máximo y comprobar si se supera el mismo.",1 Filtrado_Annette_DC.xlsx,9,6,12,,,,,
95_LibroBMM. Sin copyright.pdf,"Muchos hechos importantes que acontecen en nuestra vida, como el matrimonio, el divorcio, la compra de una casa, o tener un hijo, pueden implicar cambios en nuestra situación financiera.","Muchos acontecimientos importantes como el matrimonio, el divorcio, la compra de una casa, o tener un hijo, pueden implicar cambios en nuestra situación financiera.",1 Filtrado_Annette_DC.xlsx,5,1,,,,,,
101_LibroBMM. Sin copyright.pdf,"Y es que independientemente del régimen matrimonial de la pareja, si se poseen cuentas bancarias conjuntas, o tarjetas de crédito, o se realizan operaciones financieras, los dos titulares serán responsables por los pagos, inclusive si sólo uno de ellos hizo los cargos.","Y es que independientemente del régimen matrimonial de la pareja, si se poseen cuentas bancarias conjuntas, tarjetas de crédito o se realizan operaciones financieras, los dos titulares serán responsables por los pagos, incluso si sólo uno de ellos hizo los cargos.",1 Filtrado_Annette_DC.xlsx,5,15,,,,,,
105_LibroBMM. Sin copyright.pdf,"Una hipoteca es un préstamo de importante cuantía que tendrá efectos sobre la economía: Por un lado, reducirá considerablemente el poder adquisitivo para otras partidas y por otro, reducirá el crédito para la obtención de nuevas operaciones financieras, sobre todo, en los primeros años del préstamo.","Una hipoteca es un préstamo de importante cantidad que tendrá efectos sobre la economía. Por un lado, reducirá considerablemente el poder adquisitivo para otras partidas, por otro, reducirá el crédito para la obtención de nuevas operaciones financieras, sobre todo, en los primeros años del préstamo.",1 Filtrado_Annette_DC.xlsx,15,1,3,,,,,
106_LibroBMM. Sin copyright.pdf,"Ante el elevado nivel de endeudamiento presente y futuro que la compra de una vivienda financiada mediante hipoteca va a suponer, debemos reflexionar y analizar cuidadosamente cuál es nuestra capacidad de pago.","Ante el elevado nivel de endeudamiento presente y futuro que supone la compra de una vivienda financiada mediante hipoteca, debemos analizar cuidadosamente cuál es nuestra capacidad de pago.",1 Filtrado_Annette_DC.xlsx,19,5,,,,,,
207_LibroBMM. Sin copyright.pdf,"Según el cuadro, podemos comprobar que en la opción 3, aunque el tipo de interés es más alto, las comisiones son menores, por lo que la T.A.E resulta inferior, y con ello la cuota mensual a pagar y el coste total del préstamo.","Podemos comprobar en la opción tres que las comisiones son menores aunque el tipo de interés es más alto, por lo que la Tasa Anual Equivalente resulta inferior, y consecuentemente la cuota mensual a pagar y el coste total del préstamo también.",1 Filtrado_Annette_DC.xlsx,16,19,14,13,3,,,
208_LibroBMM. Sin copyright.pdf,"La opción de la Financiera Fincar, es por tanto, la mejor.",La opción de la Financiera Fincar es la mejor.,1 Filtrado_Annette_DC.xlsx,16,5,,,,,,
214_LibroBMM. Sin copyright.pdf,"Las posibilidades de obtener un préstamo hipotecario dependen de las circunstancias económicas y personales del solicitante: estabilidad laboral, ingresos mensuales, nivel de endeudamiento, etc.","Las posibilidades de obtener un préstamo hipotecario dependen de las circunstancias económicas y personales del solicitante como la estabilidad laboral, ingresos mensuales, nivel de endeudamiento, entre otros.",1 Filtrado_Annette_DC.xlsx,3,13,,,,,,
219_LibroBMM. Sin copyright.pdf,"Si los solicitantes están casados y no existe separación de bienes, habrán de facilitar los datos de los dos cónyuges.",Los solicitantes facilitarán los datos de ambos si están casados y no existe separación de bienes.,1 Filtrado_Annette_DC.xlsx,6,19,,,,,,
221_LibroBMM. Sin copyright.pdf,"A la hora de valorar la capacidad de pago del solicitante, las entidades de crédito suelen exigir que la cuota mensual a satisfacer no suponga más del 35% de los ingresos acreditados.",Las entidades de crédito suelen exigir que la cuota mensual a satisfacer no suponga más del treinta y cinco por ciento de los ingresos acreditados cuando valoran la capacidad de pago del solicitante.,1 Filtrado_Annette_DC.xlsx,14,7,19,,,,,
222_LibroBMM. Sin copyright.pdf,"Como ya hemos comentado anteriormente, un porcentaje mayor de endeudamiento supone un altoriesgo, tanto para la entidad bancaria que ve arriesgado el cobro, como para el titular del préstamo, que se enfrenta a una cuota alta difícil de satisfacer mes a mes.",Un porcentaje mayor de endeudamiento supone un alto riesgo para la entidad bancaria que ve arriesgado el cobro y para el titular del préstamo que se enfrenta a una cuota difícil de cumplir mes a mes.,1 Filtrado_Annette_DC.xlsx,16,8,1,,,,,
224_LibroBMM. Sin copyright.pdf,"La cuantía del préstamo (nominal) va a consistir en un porcentaje que, normalmente, no superará el 80% sobre el valor de tasación de la vivienda.",La cuantía del préstamo nominal consiste en un porcentaje que comunmente no supera el ochenta por ciento sobre el valor de valoración de la vivienda.,1 Filtrado_Annette_DC.xlsx,3,14,6,1,,,,
225_LibroBMM. Sin copyright.pdf,"En caso de no obtener todo el importe que se necesita, se puede plantear la posibilidad de recurrir a un préstamo personal por la diferencia entre el capital que puede obtenerse con la hipoteca y el valor de la compra.","Se puede recurrir a un préstamo personal en caso de no obtener todo el importe que se necesita, por la diferencia entre el capital que puede obtenerse con la hipoteca y el valor de la compra.",1 Filtrado_Annette_DC.xlsx,7,19,5,,,,,
227_LibroBMM. Sin copyright.pdf,"Conviene, pues, ajustar el plazo al mínimo posible para que el importe finalmente pagado sea también el mínimo posible.","Conviene, pues, ajustar el plazo al mínimo posible para que el importe finalmente pagado sea el mínimo posible también.",1 Filtrado_Annette_DC.xlsx,5,9,,,,,,
232_LibroBMM. Sin copyright.pdf,"Partiendo de la base de que el tipo de interés será del 5%, según el plazo de amortización, obtenemos las siguientes cuotas:","A partir de la base de que el tipo de interés será del cinco por ciento según el plazo de amortización, obtenemos las siguientes cuotas:",1 Filtrado_Annette_DC.xlsx,14,12,16,,,,,
233_LibroBMM. Sin copyright.pdf,"A un plazo de devolución de 20 años, la cuota resultante era de 791,95 euros al mes. (intereses totales 70.067,25€)","A un plazo de devolución de veinte años, la cuota resultante era de setecientos noventa y un coma noventa y cinco euros al mes. Los intereses totales son setenta mil sesenta y siente coma veinticinco dólares.",1 Filtrado_Annette_DC.xlsx,14,3,,,,,,
236_LibroBMM. Sin copyright.pdf,"Aunque los intereses que pagarán a lo largo de la vida del préstamo serán mayores (14,931,93 euros más), prefirieron tener mensualmente una cuota menor que les evite problemas de liquidez futuros.","Prefirieron tener mensualmente una cuota menor que les evite problemas de liquidez futuros. Aunque los intereses que pagarán a lo largo de la vida del préstamo serán mayores, catorce mil novecientos treinta y un mil coma noventa y tres euros más.",1 Filtrado_Annette_DC.xlsx,14,19,,,,,,
245_LibroBMM. Sin copyright.pdf,"Algunos de estos gastos son de obligado pago para el cliente en tanto que otros (tasación y gestoría) se pueden negociar: Tasación del inmueble, notario, impuesto de actos jurídicos documentados, registro de la propiedad, gestoría, seguros.","Algunos de estos gastos son de pago obligatorio para el cliente en tanto que otros como tasación y gestoría se pueden negociar. Tasación del inmueble, notario, impuesto de actos jurídicos documentados, registro de la propiedad, gestoría, seguros.",1 Filtrado_Annette_DC.xlsx,3,1,,,,,,
246_LibroBMM. Sin copyright.pdf,"Antes de embarcarnos en un préstamo hipotecario, debemos valorar con mucha prudencia nuestra capacidad real de endeudamiento.",Debemos valorar con mucha prudencia nuestra capacidad real de endeudamiento antes de comprometerse con un préstamo hipotecario.,1 Filtrado_Annette_DC.xlsx,19,1,,,,,,
248_LibroBMM. Sin copyright.pdf,No es recomendable que la cuota mensual a satisfacer sea superior al 35% de los ingresos acreditados.,No es recomendable que la cuota mensual sea superior al treinta y cinco por ciento de los ingresos acreditados.,1 Filtrado_Annette_DC.xlsx,14,5,,,,,,
258_LibroBMM. Sin copyright.pdf,"En este caso, se procederá a tasar el inmueble, lo cual conlleva un coste; se puede negociar con el banco o caja de ahorro quien asume este gasto.","Se procederá a tasar el inmueble, lo que tiene un costo. Se puede negociar con el banco o caja de ahorro quien asume este gasto.",1 Filtrado_Annette_DC.xlsx,21,1,9,,,,,
259_LibroBMM. Sin copyright.pdf,"En el caso de comprar un inmueble que ya está gravado con una hipoteca que garantiza la devolución de un préstamo, antes de subrogarse a la misma es muy importante estudiar las condiciones del préstamo.",Es muy importante estudiar las condiciones del préstamo antes de subrogarse a una hipoteca. Como en el caso de comprar un inmueble que ya está gravado con una hipoteca que garantiza la devolución del préstamo.,1 Filtrado_Annette_DC.xlsx,19,6,,,,,,
